State,Number of Orders,Pickup Performance Percentage
Andhra Pradesh,3,0.0
Assam,3,66.66666666666666
Chandigarh,30,56.666666666666664
Chhattisgarh,8,100.0
Delhi,9726,83.66234834464322
Gujarat,32533,89.75501798174162
Haryana,18091,96.67237853076115
Himachal Pradesh,2,50.0
Karnataka,4440,75.90090090090091
Kerala,27,81.48148148148148
Madhya Pradesh,96,94.79166666666666
Maharashtra,20698,90.48217219054982
Orissa,5,40.0
Punjab,224,71.875
Rajasthan,5137,86.60696904808253
Tamil Nadu,4972,90.72807723250202
Telangana,987,90.27355623100304
Uttar Pradesh,2014,62.41310824230387
Uttarakhand,73,87.67123287671232
West Bengal,931,79.80665950590763
